#node1	node2
O43609	P22681
P31946	Q9BRS2
P0CG47	Q9Y3C5
P08700	P17181
P20248	P54198
P56746	Q9UDY2
P08514	P24821
P0CG48	Q9Y6I3
O14727	Q9Y2G2
P30086	Q9UET6
P80723	Q9Y572
P18031	P62070
P00519	P13671
P08588	P49407
O14920	P36897
P54105	P62318
P09874	P13010
P35575	P54646
P08069	Q9H0M0
O95715	P46094
Q13191	Q13905
P61956	Q96JQ0
407050	Q4LE39
P68133	Q9NXR8
P26012	Q9HBI0
P58876	Q92796
P15170	Q13075
Q12933	Q15046
P56880	P78369
O14654	Q9UM73
P19525	P52630
P54132	Q13156
P35680	Q92831
P60520	Q8N1C3
O14727	Q96GX9
P17612	P18847
P51692	Q9NRG1
P68366	Q99426
P55735	Q15437
Q12933	Q9Y286
A8TX70	P18084
Q93062	Q96LM6
P06756	P26010
Q92597	Q9Y6Q5
O43299	P14316
Q15428	Q8N163
Q13315	Q99426
P32246	P52333
Q8IUE6	Q969S8
P11171	Q08211
O43432	P52735
P05019	Q15418
Q9Y4A5	Q9Y605
P52298	Q15428
P51668	Q9UBF6
O15055	Q9UKB1
O75581	Q14332
P10275	P11387
O75618	Q9P031
P35580	Q13315
O00220	P02458
O95178	P03891
Q6PD62	Q8WVC0
P62979	Q7LG56
O43508	Q9NP84
O43251	P09234
P62258	Q9UI47
P56746	P57739
P63104	Q92934
O14641	P25054
O95373	Q9Y4K3
Q9NSB8	Q9NSC5
P04003	P0C0L5
P31268	Q03164
P35221	Q5W0B1
O15354	O60260
B1A4H9	Q13651
O43240	Q5T3J3
O14639	P01106
P21583	P35968
O43353	P62158
P23497	Q8TAD8
Q13151	Q13243
Q96B02	Q9HCM9
Q15796	Q9UQM7
P08238	Q9H5J8
P53779	Q9HAV0
P16220	Q6NUP7
Q8IV63	Q99816
P29460	Q01201
Q13315	Q9BQS8
P30968	P84996
P07357	P13987
Q04725	Q13620
Q00610	Q15653
Q01892	Q15306
P17844	Q92841
P51812	P53355
P01563	P40238
Q13332	Q9P2H0
P62829	Q13546
P36542	P62736
P12830	P15151
P41743	Q8ND90
P17181	Q13191
O00221	P27708
O95832	Q16625
Q96ST3	Q9UBP5
P38405	Q8NGL3
O95336	Q99750
O00212	Q8NF50
P23396	P46783
P48551	Q9UHD0
P01111	P45984
P07550	P32121
P50150	Q08462
Q05086	Q14160
Q92574	Q9UGJ0
P62308	Q15287
O75534	P46977
P43405	Q9Y4K3
Q5JY77	Q9Y483
Q96PY6	Q9NPD3
O75529	Q92831
P46940	Q15149
P35658	Q9UMR2
P54259	Q15654
P05129	Q9NYF0
P25205	P33993
P15622	Q9C0F1
O15264	P63211
P22607	P49765
Q13573	Q9BUQ8
O00626	P51685
P09234	Q12906
Q12805	Q13485
P36406	Q9P0T4
P29475	Q13555
P0CJ70	P25090
Q9BUJ2	Q9Y3C6
Q86YZ3	Q96BK5
P46379	Q5JPE7
P00734	P07359
343477	Q15008
P05019	P08069
P30050	P62910
P28749	Q9BUH8
Q14197	Q9HAV7
Q13200	Q9UKB1
O75475	P30041
P51617	Q5VVH5
O14735	Q6SZW1
P78369	Q07157
P01111	Q9HAU4
O00308	Q15796
P32121	Q9H205
P51817	Q7Z3S7
O00161	Q12846
P67870	Q96K83
P50616	Q4VXU2
O15355	P49286
Q96B97	Q9ULZ2
O15519	P22087
O75688	P05783
P04234	P42338
P23921	Q5T3J3
P68431	Q96KQ7
P01106	Q9H7T9
O14920	P35568
P03372	P11142
P27824	P35610
P17252	Q9UNY4
Q86XI2	Q9Y5J5
P38405	Q8NGB4
P08670	Q15714
P12980	Q8IYD9
Q99459	Q9UMY4
Q9NRI5	Q9UL68
Q02241	Q16537
Q13485	Q96D21
O14745	Q01970
O00471	Q8IYI6
P08107	P19525
Q99689	Q9NRN5
P51817	Q9NY47
P01106	Q96BR5
P10828	P42338
P0CG48	P16104
P27361	Q9NYJ8
O15264	P01111
P22102	P62330
P15121	P15924
P01111	Q8WWW0
Q8NBJ4	Q9NP59
P09234	Q9BQA1
P08754	P51817
P05783	Q16695
P62081	P62854
P08253	Q9Y5S8
O00141	Q15008
Q05639	Q9Y4K3
Q8IYW5	Q96QV6
P24385	Q9UKT5
P29992	P34995
Q9UI95	Q9UJX5
P51828	Q9NZT1
P01112	Q9NRA0
P23508	Q9Y295
Q99750	Q9P2K9
P32121	Q8NH79
P46777	Q53EL6
P54840	Q13131
Q99759	Q9H6T3
P18146	Q99836
Q05513	Q92569
P03372	Q96LA8
P50591	Q12778
O15379	O60675
Q5T447	Q7Z434
P19387	P24928
P01106	Q9Y2I8
P52333	Q14626
P25942	P27797
O00459	O14654
Q68CJ9	Q96BA8
P62140	Q9NP77
407006	Q9NX09
406933	Q9Y2M5
P37023	P55055
Q9UN86	Q9UNL4
P30480	P41091
P38936	Q99816
P41235	Q9Y6Q9
O94762	P49959
Q92917	Q9BQA1
Q13547	Q15796
A0JLT2	O95816
P22301	P40763
P29459	P42701
O95870	P13164
P46108	Q9UPX8
Q15834	Q9P104
Q13573	Q96P70
P42574	Q8WUI4
P60709	Q13952
Q5QNW6	Q9UKV0
P58876	Q14164
O76095	Q2QGD7
O60258	P07333
P62837	Q86Y13
P27986	Q14315
P07196	P61981
Q13315	Q8NE71
Q13114	Q9Y6Q6
O14757	Q9HB96
P61981	Q9Y4F9
P14649	Q15746
P24864	Q9NZC3
P63279	Q06787
P52434	Q9Y250
P35626	Q8NGK3
O43657	Q5T3J3
P22392	Q12802
O15145	P62993
Q13555	Q13557
P50914	P62917
Q9P0P0	Q9Y2X8
P24941	Q13111
P37268	Q15041
P62910	Q02543
Q9BUA6	Q9H1R3
P21246	Q9UM73
Q8N122	Q96B36
Q01844	Q8NDC0
Q03154	Q99614
P05386	P83731
P62140	Q12879
O75340	P50995
P56192	Q9Y6K9
P0CG48	P48357
P02766	P02787
P05549	P10415
P01106	P34896
Q14188	Q16254
P22087	Q99873
P04908	Q13547
P63279	Q14134
Q93062	Q9H0E2
Q7L0Q8	Q9H7D0
Q9H981	Q9Y265
P01215	Q969G2
P20333	P25705
P02787	Q13315
P18146	Q15742
P08620	P11362
P25490	Q9Y230
Q9GZT6	Q9UN74
P38405	Q8NGR2
P08670	Q16512
P53779	Q9Y4H2
O75165	Q13573
P04637	Q15257
P20339	Q13671
Q9NWZ3	Q9Y4K3
P11021	Q01201
P01568	Q99665
P08134	P27986
P49023	Q14161
O95837	P32238
P10914	Q9HBE5
P08670	P16220
O76074	Q14643
O14782	Q99459
P27986	Q9Y259
P51825	Q03111
Q13467	Q9GZT5
P57087	Q07157
P25963	Q96EB6
Q8TB24	Q9UI14
P62807	Q14164
Q14186	Q15329
P05067	P78536
P06400	P78396
P01903	P27701
O15379	Q8TF05
Q13885	Q14204
P53350	Q13885
Q12986	Q13242
O75116	Q01449
P61981	Q9P0L2
Q13153	Q14161
P58876	P78545
P52198	Q96N67
P01579	Q99665
O00327	Q14995
Q92698	Q92878
O14493	Q16625
O15344	P68036
O60292	P31947
P54257	Q9H0I3
P26641	Q05397
Q02750	Q13177
P53618	P61923
P07900	Q92597
P62266	P62273
O15294	O43427
Q04771	Q53GS9
O15379	Q96A08
O60711	P10275
Q07890	Q8N1I0
P04637	P11926
O75365	Q5VYK3
P51817	P55011
P49662	Q9Y277
Q13526	Q99708
P12814	Q9UBF9
P62191	Q13573
P33076	P53567
P27695	P63279
Q13616	Q9BT78
P18621	P62829
P29350	P40189
P60953	Q00587
P18146	Q9UHW5
P30084	Q9HAU4
O75154	Q02241
O00308	Q8TBH0
O60381	Q5VSY0
P61353	P62424
Q13332	Q9BVJ6
P01106	Q5QJE6
P56746	Q96B33
O00716	P42771
P31314	P36873
P17301	Q8WYR1
A4D2G3	P38405
Q05195	Q13490
Q92561	Q99584
P15391	Q07889
P01303	Q9Y478
P61073	Q9UBD3
P68431	Q96ES7
Q96GM5	Q9NZS9
P18433	P62993
Q13077	Q13748
P05412	P15407
P0CG48	Q9Y5X1
P28472	P67775
P0CAP2	Q8NEV4
O43251	Q86U06
Q99459	Q9UQE7
P42285	Q9HAU5
O95467	P62879
P35609	Q15459
Q10586	Q14191
Q8NE01	Q93062
P84243	Q9UNL4
P20929	Q07889
Q13105	Q92547
P31947	Q9H1Y0
Q71U36	Q9Y6K9
P06400	P45984
P53778	P54829
O00574	P55774
Q00597	Q14469
O75676	P68431
O95819	P00367
P29350	Q01344
P15248	P42702
P15498	P19174
O43294	P10275
Q14802	Q9NXK8
Q15365	Q8IWZ8
P29460	Q9UHF4
Q12972	Q14194
P04899	P46092
P01137	Q14392
P38159	P51116
O94875	Q13153
P78396	Q15717
P01854	P12319
O95257	Q15262
P61353	Q9Y3U8
P08887	Q13191
O00141	P43355
Q92731	Q9HBH9
P62158	Q9UQM7
P15336	Q04206
P50914	P62913
O43639	Q5T5P2
Q14765	Q9NSE2
P01889	Q15631
P63092	Q13255
O95613	Q99459
P42574	Q96CA5
O00755	Q9H237
P19634	P51817
O75928	P11831
O60934	Q92793
P00491	Q5UIP0
O95622	P22612
O15031	Q9NTN9
Q92616	Q9BUV8
P23527	Q9BTM1
O00231	Q15796
P63096	Q92633
O95897	P14618
Q96PV6	Q9BQY4
P10071	Q8N752
P60520	Q13501
Q9H2F5	Q9NV56
A5YKK6	P78543
Q13315	Q8N8S7
Q01844	Q9H173
A5YKK6	P50616
Q00610	Q6WCQ1
O15105	P46734
O60260	Q13155
Q13363	Q8N3X6
P62987	Q93008
P01563	Q92985
P19793	Q92793
O14641	Q8IYF1
P25787	P28074
P05109	P68366
P61077	Q68DV7
P36873	Q9UQM7
P62070	Q8WYR1
P04183	P56537
Q86Y56	Q9Y5V3
P55103	Q04771
P10415	P30154
P23508	P54819
P18206	P49023
P0C0S5	Q9UKV0
Q6P4R8	Q9H9F9
P63261	Q9UHV8
P25054	Q8NEV8
P51114	Q9P2H0
P21860	P42336
P08887	P29459
P08173	P61952
P23508	Q14197
O75362	Q9UKL0
Q05193	Q14247
P43487	Q9UKE5
P10599	Q96BK5
Q9HBW1	Q9UKV8
P54105	P62306
O14775	P20073
O95696	Q92794
P01112	Q8N9B8
P01106	Q8N3F0
P04792	Q9HAW0
O75665	Q9P2H0
Q01151	Q04206
P23396	P25398
O14807	Q9NS23
Q13233	Q9Y4K3
O94880	Q13535
P62263	Q00005
Q16186	Q9UMX0
Q8N9I9	Q96LR5
P11831	Q14192
P04181	P30480
P36897	Q9C0J8
P0C0S5	Q9NXR8
Q16537	Q8WXS5
O43921	P08581
P01106	Q92733
P19320	Q9HBY0
Q96BQ5	Q9Y3C5
O15520	P07333
P49736	Q14566
Q07890	Q9UNA1
P18206	Q8N5D0
Q13617	Q9Y371
Q9H1A4	Q9UM13
O95831	P16104
Q9HAW0	Q9NVI7
P49716	P56524
P11464	Q9BVJ6
P68431	Q9Y468
Q86Y13	Q9BZK7
P23921	Q7LG56
P25788	Q15008
P14780	Q9HBY0
P43220	P84996
Q7L4P6	Q93009
O60739	P42771
P17676	P49715
Q13227	Q15466
P03897	P03905
Q12913	Q13224
O95631	P43146
P42566	P49757
P05556	Q14315
Q13315	Q9BVP2
Q13573	Q14978
P49910	Q9Y5X1
P09012	P51003
P07202	P15260
P54259	Q5JSZ5
O00459	Q8IWV1
P49790	P57740
P01106	Q96P16
P45985	P46108
O95190	P11926
P62917	Q9UL18
P06241	Q13432
P56470	P62070
P42338	P49418
Q01668	Q9UK08
O75461	P99999
P17947	Q96RE9
P34932	P63104
Q75N90	Q92569
P47869	Q15111
P08637	P43405
P05556	P49746
P23508	Q96PZ0
P01889	P60660
Q13838	Q9Y3Y2
P08173	P63218
P04899	P27361
P05106	Q9Y490
Q86VX9	Q9P253
P42167	P62993
O95870	P48201
P22681	P51451
P50150	Q00722
P26992	P32881
P62249	Q15843
O60285	O95835
P21453	P63096
P62269	Q9UL18
P39023	P98175
P55209	Q9H1Y0
P05412	P56645
P14316	Q04206
P48357	Q14432
Q8WYN0	Q9GZQ8
P04908	Q969S8
Q00978	Q99731
Q14344	Q92888
Q6ZVM7	Q9Y3C5
P06241	Q9NZQ3
P01106	Q9Y3T9
P12814	Q96HC4
Q16611	Q9HD36
O15121	Q15393
Q15369	Q9H8Y8
Q04721	Q9Y644
O75251	O95298
Q8IXK0	Q99496
P62805	Q6P4R8
P25208	Q09472
P24928	Q13526
P19338	Q92597
O14745	Q9ULV1
P22455	Q96PU5
P04637	Q9UBE0
Q6IE81	Q92599
O14980	Q9UKV8
Q99558	Q9Y4K3
O60262	P84996
P0C0S5	Q15906
Q00987	Q7LG56
O14744	P08621
Q96AQ9	Q9Y6D9
P24522	P51531
P35226	Q99496
P21281	P24158
P62913	Q15653
Q10570	Q12996
P23458	P51692
O43493	Q9H2G2
Q9BUJ2	Q9BWF3
P13232	Q9HC73
P01112	Q8TD86
P17081	Q52LW3
O15400	O75379
P11229	Q9HAV0
P13612	P53420
O75618	Q13158
P23945	Q5JWF2
Q05516	Q15834
P05388	Q02543
O60814	P0C5Y9
P49918	Q99684
P35225	P42701
P30480	Q8NC51
P25445	P50591
P17252	P28907
O75832	P58876
Q12972	Q15435
Q96DH6	Q96DU9
O00303	O15371
O95208	P04629
Q00610	Q9H492
P40933	Q01113
O43597	Q9P283
O15211	P10301
O75800	Q6PCD5
P51965	Q8N8N0
O14757	Q96JB5
P08865	P46783
P50151	P51828
Q13105	Q92731
O75581	Q9UBT3
P62136	Q96BA8
P53778	Q8WZA2
P04637	P49848
Q13535	Q9NVC6
P17028	P26641
O00193	P10074
P31946	Q99570
O94817	P60228
P24941	Q8NHZ8
P14770	Q8WYR1
P50402	Q9UKV8
Q13501	Q9UDY8
P12107	P17301
P04637	Q9UM63
Q5T6C5	Q99750
P48556	P62191
P41235	Q15648
Q5VWQ8	Q9Y2Q3
Q8WW43	Q9Y219
O60861	P55160
406956	Q13315
O14775	P49736
P23919	P25054
Q15788	Q9Y6Q9
Q13547	Q9NWT6
P63151	Q9NWZ3
O00459	P01111
P0CG48	P23246
P17181	P22681
P51159	Q5T3J3
O15444	P49682
P53779	Q13432
P30542	Q99832
P55774	Q14194
P10912	P26045
P13500	P49238
P01584	Q9NPH3
O43432	P06730
P39023	P49207
P37840	Q13526
P07359	P31946
P38159	Q13243
P30457	P51571
P56746	Q8N6F1
P0CG47	Q07889
P10809	Q15399
O15519	P10275
Q9UNF1	Q9Y5J5
Q13547	Q66K89
P63104	Q9P2H0
O75376	P13631
Q08289	Q66LE6
P09661	Q9BWJ5
P24539	P56385
Q16534	Q9NR55
Q04206	Q07020
P02786	Q9P0V3
P35249	P35251
O15111	Q86UT6
P16144	P53420
P06734	P42226
Q05513	Q96RI1
O95072	P62714
Q8IZH2	Q8TB22
P41182	Q13526
P25205	Q13177
P42701	Q5VWK5
Q99459	Q9UL03
P01889	P12004
Q07666	Q13573
P08047	Q12772
Q93079	Q99878
P20701	P32942
P09001	Q9BYC9
P62945	P83731
P01588	P01589
P48549	P62879
Q15843	Q9H1Y0
P21802	P35568
O43617	Q9Y5R8
P61201	Q9UNS2
P0CG47	Q9UJ41
P78537	Q8IYH5
Q15797	Q9NYG2
P62987	Q9NVI1
Q6P1J9	Q9P2I0
P12004	Q14164
P00519	P29322
P56537	Q969H8
P10398	Q9Y243
P15884	P22736
Q5VTD9	Q9HC77
P17612	Q13733
Q8IXI1	Q9UPV9
P04049	Q9NVR2
Q01780	Q8IZ52
Q08334	Q9ULV8
P60709	Q92636
Q13155	Q13643
O15105	Q9Y2K7
P16471	Q13007
P35637	P49841
Q96D42	Q96H15
P01579	Q13261
Q12873	Q92598
P09917	Q9UKT9
P36404	Q9Y2Y0
P38398	Q15853
P24043	P56199
P01137	P45984
P09681	P48546
P30153	Q13573
O00168	P22694
P24385	Q9NS23
P01570	Q5VWK5
P16104	Q06609
O95400	Q15366
Q13573	Q15717
O95918	P32121
P07900	P14868
P08107	Q9Y239
P49748	Q14197
P24593	P35555
P01106	Q9NR50
P21802	P52797
Q99062	Q9NPF7
P51965	Q6ZNA4
O43143	P01106
P06241	P43699
P32239	P50148
P43405	P78324
P25208	Q15633
O15379	P23769
P00533	Q07889
P00441	P04156
P20073	Q9BV38
P62745	Q13829
P13569	Q9Y5X1
O14640	O14641
Q15910	Q9GZS3
Q03112	Q13547
Q9Y230	Q9Y265
Q96BY7	Q9Y484
P16035	P61289
P13686	P15927
Q07020	Q9UL18
P06127	P29350
P19793	P37231
P25445	P51681
O14904	Q9ULW2
P01106	Q14699
P35580	Q15334
Q96BK5	Q9Y3D3
P34947	P51686
O43900	Q15788
Q8TD23	Q9Y4K3
P61981	Q09161
P54253	Q8N1L9
P35658	P57740
P12004	Q8IWY9
Q13233	Q15208
Q14197	Q99623
P32298	P49407
O95298	Q86Y39
P62195	Q99459
P22455	Q9HCE7
Q16891	Q9UFN0
P17861	Q01892
Q9H1Y0	Q9HC96
O60506	Q9Y2V3
P01730	P16070
O96000	P56556
Q9H6S1	Q9Y6K9
P62256	Q96A37
P04839	P32519
P49716	P78504
P19419	Q9NR96
O15511	P63261
P35579	P50402
P17480	Q9BQG0
P55157	P62993
Q9BSM1	Q9HC52
P68363	Q9Y375
O95402	P0CAP2
Q15427	Q15811
P12644	P36894
P60709	Q2M3G4
P02768	Q9UQC9
P61077	Q71U36
O95870	P03901
P01243	P33316
P01562	Q5VWK5
P84022	Q9NYA4
P20226	P49736
P68036	Q96BK5
P23284	Q9Y4K3
P40763	Q9UM73
P03372	P22692
P30281	Q8N726
P04637	Q13330
O94805	Q8NFD5
P54259	Q02641
O14964	Q15796
Q9BXW9	Q9H5J4
P11387	P11388
Q16778	Q92769
P06756	P07996
P29692	Q8WYK2
Q06413	Q92905
P01563	Q99650
P07948	Q99759
P26641	P61956
O15379	Q9Y618
P62993	Q96RD6
Q15287	Q15428
P63010	Q6WCQ1
P24394	Q8IZI9
Q15834	Q96EZ8
P24864	P51948
P98175	Q13247
P05412	P28482
P19838	Q9UNE7
P61086	Q8N2W9
Q14686	Q15291
P40429	P62891
P28328	Q9GZS3
Q5VTB9	Q93009
Q05209	Q13224
P10828	Q86YW9
P08238	P08865
P38398	P51531
P62987	Q92901
P41597	P48061
P19429	Q969Q6
P09455	Q09028
Q07157	Q96GC9
P26368	Q13573
P25098	Q99835
P61964	Q14686
P01112	Q9Y4G8
P06400	P49716
Q99759	Q9Y2U5
P40189	Q13191
P54253	Q8N554
Q16695	Q4FZB7
2310	Q96EB6
P02768	P04259
P57739	Q8N6F1
O75554	Q9Y2W2
Q9NZN5	Q9ULL4
O95391	Q6P2Q9
P51587	P54725
P08670	P37840
Q02763	Q9NP95
P56693	P60201
O43318	Q9NV58
O60832	Q9BUR4
P30953	P35626
P02462	P08253
P08246	Q99684
Q12955	Q14643
P68036	Q9Y478
P29459	Q9UHF4
P25024	P78423
O00505	Q9Y466
P32927	Q15744
P16333	Q9UL42
P06213	P11487
P68366	Q99459
P22607	Q6S5L8
P06241	P16070
P46940	P63000
9757	Q8NEZ4
P22694	Q9UF02
P53007	Q9Y5V3
P11831	P13569
P17612	P23634
O94817	Q9BYX4
O15530	Q15796
P01570	P08887
P15498	Q04759
P05412	P53779
P15153	P42336
Q9UGN5	Q9Y6X8
P14866	Q07955
P03971	Q92824
Q92731	Q9Y6X2
Q13315	Q86T24
O95711	Q02556
B5ME96	O75015
P62330	Q92922
Q92925	Q9UJX2
O75578	P02751
O95376	Q13315
O75914	Q32MK0
P14770	P42338
O75815	Q15631
P01303	P28566
P05113	Q8IU57
P10242	P35225
P01133	P62316
O15264	Q8NC51
P15822	Q7Z2E3
P26640	Q05639
Q9GZT6	Q9UHF0
P39023	Q9Y478
Q93009	Q9Y4K3
P50453	P68104
P15056	Q9Y6X8
Q01668	Q05586
Q16576	Q9Y5X4
P08069	P18031
Q13309	Q9UM11
P22694	Q09472
P28324	Q13164
Q07954	Q9UP38
P15153	Q07889
Q8TAI1	Q99750
Q13243	Q9BUJ2
P61586	Q9H0H5
P68366	Q8IUQ4
P62993	Q96NS5
P04004	P05106
Q9UM11	Q9UM13
P32121	P35372
O00744	Q9H237
P26951	P60568
P13725	Q9HBE5
P13196	P61956
P61586	Q12802
P05106	Q9Y3P9
O95819	P62269
P30154	Q8WXS5
Q16787	Q9UKX5
P31995	P46108
P26442	Q9Y2X8
P19838	P40763
O00755	Q96HF1
P47898	P62879
P14780	P29400
P04899	P45983
P01567	P24394
O60941	Q9BUH8
P04275	Q76LX8
O60663	Q8N806
P15311	P63261
574442	O00628
P35626	Q8NGZ4
P17612	Q09472
P14923	Q96HA8
407037	Q07820
P13861	Q05469
O75533	Q9NZC7
P30281	P52630
P24522	P62879
P16885	Q8IXK0
P22607	Q9NR46
O76081	P55157
P63096	Q9HAV0
P46531	Q96BI3
P31749	P84022
P53618	Q13573
P31689	Q12809
P25105	P50148
O15111	P35222
P24522	P38936
P05771	P19438
O14744	Q9BQA1
P62273	P62330
Q13315	Q9UBS4
P32121	Q9H340
P46940	P62330
P38398	P52294
Q05513	Q96IF1
P62993	Q92614
P25025	Q9H2A7
O15379	P34932
P19438	Q9UER7
P38405	Q8NGE3
P06753	P08575
P52198	Q8IVF5
P01889	Q99706
P25963	Q15418
Q7Z7E8	Q9BY78
P55211	Q05513
P04899	P25025
P01111	P19174
P24844	P62140
P42771	Q14209
O75791	P02768
P20226	Q15543
Q9UI12	Q9Y5J5
P78386	Q9NR96
P46777	P62910
P27361	Q05209
P30559	Q02641
O60674	Q06124
P51693	Q9UN74
C9J798	P01112
P32881	Q01344
P27635	Q99558
Q92698	Q96NY9
Q13114	Q14164
P18146	Q9UIF9
P10415	P27361
Q13619	Q8NHY2
P53621	Q9UL18
O43889	Q09472
P50148	Q9NQ66
P20042	Q13144
P36542	P52735
P30480	P62263
P18074	Q92759
P10398	P53611
O95467	P30559
P62081	P62979
O14654	Q05513
O15530	Q92569
Q00005	Q8NDX1
P56748	Q96B33
Q06787	Q7L576
