#node1	node2
Q16630	Q9NYG5
O14777	O95229
P29692	P30480
P48444	Q9Y5J5
P46379	Q9H293
P06400	Q01094
P35579	Q96A32
P54274	Q8WVM7
P16104	Q9UBN7
P13196	P61956
P06454	P31483
P07900	P53355
P40337	P68036
P53671	Q9H422
O14593	Q9Y5J5
P84243	Q9UJW3
P01308	P42336
P33947	Q13530
P06400	Q15022
Q16539	Q9Y243
O14576	Q9UJ70
P04637	Q86XK2
O14775	Q00722
P19525	P53778
P42704	Q15653
O60262	Q13698
P29992	P34981
P30480	Q09028
Q15008	Q9NVI7
P55084	Q00653
P01563	P31785
P16615	P41143
O00459	P30530
O43570	P39880
P10275	P49116
O60237	Q13464
P30154	Q9BXT2
P50502	Q14164
P62158	Q9UM54
P30281	P51692
P56524	Q7L7L0
P12931	P25101
P63104	Q8ND90
P06748	P61956
O43255	Q9P212
O15162	Q8N5R6
P12318	P53778
P42858	Q9Y3C7
P31785	P41159
P17612	Q9UD71
O75694	P49790
P12757	Q96PU5
P13725	Q9UHF4
P49790	Q99567
O14920	Q13451
P14415	P17612
P14866	Q16629
O60353	Q96HF1
P30939	P50151
P55072	Q86TM6
P05120	P08311
P01344	P04004
Q13465	Q13547
O15264	P43403
Q9NVW2	Q9Y2X8
P41732	Q9Y664
P12236	P19838
Q8IY92	Q9BTT6
O15444	P51681
O43295	Q9Y6N7
P52798	P54764
O75928	Q92731
Q12834	Q9UM11
P52434	P61218
P00519	Q96RL7
O43463	Q96EB6
P17948	Q8WYR1
Q9H1J1	Q9UBU9
Q06190	Q9BXT2
P01579	P40763
Q7Z6L1	Q9Y4P8
Q96FJ2	Q96LC9
P50914	P61313
O00459	P08631
O15047	Q6UXN9
Q6MZQ0	Q9BVC4
P22362	P25024
P11387	P68400
O95467	Q68DD2
P29466	Q9NWB7
P17081	Q5T5U3
Q9NZN5	Q9ULL4
P02766	P08670
P31943	Q14194
P68400	Q01082
P04899	P29474
P98177	Q13131
406881	Q92945
O96017	P06400
P01871	Q05397
Q06587	Q969T4
P19174	Q14108
P00533	P62158
Q13164	Q9HBH9
B1A4H9	P17181
P24941	Q8NHZ8
O00267	O43148
P15172	Q92793
442918	P54727
P30153	Q9UF02
Q13535	Q8WXE1
P19878	P53778
O94782	P12004
O75352	O95714
P49792	P84022
P23528	Q15631
Q9UNA1	Q9Y6X6
O43924	P62834
Q14197	Q9HD33
P16104	Q8NBJ7
P63104	Q96J92
Q13485	Q9NQB0
O94906	Q9UQ35
P63000	Q13017
P12270	Q13315
P10155	Q9UHX1
P17302	Q9BVA1
P14415	P32418
Q96B18	Q9NRD5
Q13315	Q96T60
P29084	Q08050
Q02878	Q13352
P14324	Q99816
P01891	Q9NYU1
Q13573	Q14203
Q05655	Q86YW0
P01033	P03956
P04626	P16070
P21815	P56199
P08709	Q9Y6K9
P53350	P61968
Q86Y13	Q9Y2X8
O43918	P62993
Q16584	Q92905
P18031	P19235
P26368	Q96PU8
O95163	P48643
Q9H0H5	Q9UKW4
P05121	P98164
O00255	P14136
Q8IY92	Q96EE3
P42345	Q9UMX0
P08581	P42566
P00918	Q9P2K9
P08729	P13987
P04275	P26012
O94941	P62256
P16234	P27986
P16520	P27361
P63000	Q9Y6R4
P47871	Q5JWF2
O43541	Q13485
Q53QZ3	Q8IXI1
Q8IWX8	Q8TAD8
P04141	Q9UHF4
Q13480	Q92569
P19838	P22301
Q8NDV7	Q9HCK5
P12980	Q8WUM4
P50281	P56945
P12757	Q9H160
P11940	Q14240
Q13114	Q96DC9
P16870	P23560
P62330	Q16891
Q96RL7	Q9H2G2
P41221	Q9H237
P35080	Q99719
P62136	Q9P2I0
P05556	Q9Y6N6
P04908	Q9UBN7
P15336	P62140
P08908	Q9P2W3
P31350	Q9UM11
Q9H4K1	Q9Y6D9
P01833	P10145
P29400	Q9HCN6
O43164	P62837
O43707	P63261
114614	P17947
Q5T447	Q7Z434
Q9ULG1	Q9Y230
P03897	P03923
P61513	P62888
Q96EY1	Q9Y376
Q9Y2T4	Q9Y698
P02766	Q9BT40
O14775	Q08828
O14727	O43504
P29474	Q8IU85
P14921	P51692
Q15078	Q9Y3Q8
O00463	O14836
P54920	Q12846
O75578	P18564
P35609	Q86UL8
Q06190	Q92736
P46781	P62847
P32927	Q15744
P11166	Q9UGI9
P20333	P42677
P42166	Q9ULX6
P01563	P16871
P47804	Q92781
P62995	P84103
O75478	Q8IYI6
Q9BRJ6	Q9NX58
P04075	Q12857
P10914	P51532
P62879	Q8NFM4
P61088	Q13404
O60566	Q13573
P62993	Q8IZD9
O76094	Q96BK5
P42677	Q00653
Q969T4	Q96BH1
P49721	P60900
Q13683	Q14315
P30530	Q63HR2
O15297	O96017
P04156	P29372
Q16665	Q92831
P30305	P45983
O75376	Q13547
P10276	P63279
Q6IBS0	Q9BY76
Q9UKG1	Q9Y243
P60953	Q13432
P29692	P78545
O14715	Q6EEV6
Q6ZRS2	Q9Y265
Q08050	Q13309
P14324	Q8WXG1
O95433	Q15078
P40337	Q15843
Q13123	Q8TAD8
P62310	P62314
P31749	Q9H7J1
P05386	P62945
Q6ZNA4	Q96B02
P01137	Q14689
P17252	P28907
P61244	Q8N163
Q5VTD9	Q6PKC3
Q09472	Q9UBU8
O95931	P51784
P16298	Q9UM13
Q96EE3	Q99567
P01571	P40238
P46777	P67870
Q15287	Q9Y3F4
P52434	Q9Y250
P61587	Q9BRR9
O60831	P51681
O15533	P53618
P50281	Q9H8Y8
O43432	P11940
P42679	Q14289
P32121	Q8NGQ1
P05129	Q02930
O00193	Q9P283
O95715	P46092
O00472	Q15306
P58876	Q9Y5B9
Q13501	Q14596
P10914	Q09472
P10721	P55075
O15144	Q92747
Q09472	Q99814
P28482	P51955
406954	P84022
P10415	Q86Y07
P62993	Q9UBS5
Q08209	Q8TD86
Q15185	Q9Y4K3
P62277	P62993
P12034	P35916
O75716	Q96RG2
P27986	Q9P2W3
P28074	P60900
P16220	Q9Y6F9
P18146	Q9HCG7
P40227	Q15796
P18124	P27635
P43308	P60468
P62310	Q969L4
P46776	Q92901
A6ZKI3	P00519
P01106	P22732
P14780	P80162
O43242	Q9Y5K5
P09651	P51991
Q8NHQ1	Q9BUY5
P49327	Q01844
P09619	P52798
P27037	Q9UER7
P54132	Q8IYD8
P24864	Q9H1A4
P25098	P35372
P38405	Q6IF42
O15444	P51677
P10826	P13631
P29459	P48357
O00459	P07766
P08670	Q9Y6K9
O75084	Q5T4F7
Q17RW2	Q9UKX5
P04637	Q03013
P61457	Q9H8Y8
P78371	Q9NT62
P62136	Q13625
P05019	P08581
O95484	Q16625
P54252	P54725
Q06330	Q9UK32
P15336	P62136
P62805	P84243
O60603	P08571
Q14203	Q9Y2Q3
P52564	Q16512
P30480	Q9UQE7
O75143	Q8TDY2
Q14204	Q9BQE3
P63104	Q8TE04
Q06432	Q16537
P11362	Q92915
Q96RL1	Q9BTM1
O43927	P51686
P56199	Q13797
Q13315	Q13464
O95251	Q92997
P56192	Q9UBN6
P52272	Q6ZVL6
P08588	P35626
O43561	Q92918
P32121	Q8NGF0
P63151	Q9UBN1
Q9UD71	Q9UQK1
Q8NHQ8	Q96NE9
O00501	O95484
P49286	P62873
407026	P25490
Q5W0B1	Q9HAW0
O95169	P03897
P53667	Q9Y281
P24385	P55273
Q03519	Q04206
P18621	P84098
P20823	P62158
Q71U36	Q9H9G7
P23409	Q02535
P16333	P51816
P35227	P78364
O60667	Q92851
