#node1	node2
O60238	P32456
O00175	P25025
P05771	Q8TAA9
P43146	Q6UXZ4
406886	P52926
P06401	Q05086
P54727	Q13148
O95467	Q9UF11
P0C5Z0	P23527
P49841	Q9UJW3
O75928	P46937
O75937	P51991
P17181	P32881
Q12800	Q99496
Q13651	Q8IZI9
406979	P60484
P11532	P78527
P30559	Q7Z3S7
O14544	Q14626
P46060	Q9HC24
P16220	Q8TB45
O15530	Q92569
P10275	P23771
Q14676	Q96RU2
Q6AHZ1	Q6VMQ6
P06241	Q92569
406937	P08069
P10275	P15336
P78527	Q13426
O60603	P01100
Q16665	Q9UN36
P0C5Z0	Q9UQL6
P30291	Q99618
Q14576	Q93062
O15111	P04792
P25788	P60900
P29372	P51665
P05976	P16871
P52757	P60953
P36406	Q5VVX9
P35712	P56645
Q6P2C8	Q9BWU1
Q13177	Q9Y266
P16220	Q96IG2
P20671	P62807
P48736	Q13733
Q8TBB1	Q9H832
407004	P61244
P25054	P35221
Q9BXL7	Q9Y6K9
P15514	P33763
O15111	Q9Y6Q9
Q14164	Q9BXJ9
P56192	Q9Y478
Q9NQT5	Q9Y3B2
P56524	Q9UQR1
P26373	P63173
Q13541	Q9BVC4
P16104	Q9H0E9
O43657	Q5T3J3
O14980	P98177
Q14738	Q96PY6
P21860	Q96B97
P34982	P35626
P27361	Q01196
P46952	P52565
Q92769	Q9UQ80
O60711	Q9UBN7
O43251	P17844
P01106	Q9HAV4
Q15746	Q9NQU5
Q9H4D5	Q9UKK6
P04049	P31327
P11233	P45984
P07900	P31749
O60674	P51677
P04406	Q92993
P0CAP2	Q8IWZ3
P06239	Q9H400
Q9H1J5	Q9H461
Q12824	Q68CP9
O15350	P04637
P62837	Q9H0F5
P04637	Q9UGJ0
Q7Z4K8	Q9Y6K8
O43865	Q13535
Q13573	Q9BVQ7
P31947	Q00987
Q96GA7	Q9UGJ1
O43187	P14778
O75581	Q9BQB4
O00212	Q9P2F6
Q96SB4	Q9BRL6
Q8IY92	Q9NXF1
Q92731	Q9BT22
Q9C000	Q9HC29
P06748	P55345
Q8NBJ4	Q9H840
P30480	Q02750
P05771	P16885
P35226	Q93009
406952	Q13873
P13196	P61956
P35558	Q9UGI9
P55212	Q02818
P62310	Q13435
P12532	P63104
P84103	Q00839
Q13618	Q14145
P04626	P78314
Q13315	Q92560
P22695	P62330
Q15797	Q9BZS1
P04049	Q02156
P01222	P16473
P04406	Q13087
Q99558	Q9NR30
P10599	P27540
O75167	P16333
P35268	P40429
O43251	Q9BZE0
Q02535	Q99081
O15530	P17252
P23258	Q9H0H5
O43918	P16333
Q01113	Q9P0W0
P0CG48	Q9H4L4
P0CG48	Q14164
Q13573	Q8N684
O60674	P27986
O95793	P07437
P08107	P53041
P62308	Q969L4
P05556	P20339
Q06546	Q14145
A0JLT2	P51610
O00231	P62333
O43306	P50151
Q13485	Q9Y6X2
Q13233	Q14257
P09619	Q92569
Q9NSB8	Q9NSC5
P32121	Q8NGT0
Q58WW2	Q9HAU4
P22694	Q13131
P01308	P22607
P19174	P42680
P53708	Q8IZC6
P02686	Q13501
O14965	Q9UM11
P48549	Q9UK08
P61254	P62945
Q13555	Q14571
Q15788	Q92988
P84022	Q09472
Q99665	Q9NYY1
O75581	Q9NPG1
P01579	Q01113
O75044	P84095
P30408	P68366
P62424	Q13573
O00161	Q9NYB9
Q96EZ8	Q9C086
P20248	Q99741
Q7Z5R6	Q9Y490
P84022	Q8WYQ5
P01100	P17275
P61266	Q15836
P14598	Q8IZP0
Q10586	Q13426
O75925	Q9Y4K3
P08758	P18084
P01106	Q15813
O75293	Q15717
O76003	Q96KM6
P41182	Q96PZ7
Q16659	Q16665
P15407	P53567
Q149N8	Q969H0
P78552	Q9GZX6
P63165	Q9UJU2
P01137	Q14689
Q8IY92	Q9UHW5
Q05516	Q86YJ6
O95084	P63261
O76081	P48039
O75928	Q13426
P18848	P27361
Q15102	Q9Y4G2
P17482	Q93062
O00221	P27708
Q6ZU52	Q9BUH8
P02768	P12829
P05388	Q02878
O75578	Q92752
Q13554	Q8NEB9
P0CG47	P16104
P31751	P49841
406958	P13631
Q04724	Q15714
O00459	P43403
P46108	P62333
P09471	Q08828
P26232	P35609
P17612	P54840
P06241	P48023
Q15382	Q92574
P49207	P50914
P19174	P54252
P01871	Q8NGV6
P35580	Q9P2M7
O95433	P17844
P10301	Q12967
P12814	P18206
P53708	P60709
Q12906	Q99750
P08865	P62266
P54105	Q9Y333
Q01970	Q05655
P25942	Q13114
Q8NEB9	Q99570
P10809	P35222
O14610	Q8NFM4
P29966	Q05655
P08754	P35372
P28072	P30480
P42858	Q13177
Q96EK5	Q9Y2Q3
P11487	Q07889
P35626	Q8NGN2
P01730	Q13432
P19838	P29459
P42858	Q13363
P63165	Q9Y4K3
O14788	Q9Y6Q6
P12314	Q8N149
P0C0S8	Q9UBN7
C9JDP6	Q8N7P3
O94806	Q9P212
P05771	P10301
P38432	Q9NSK0
P15036	P42771
Q10586	Q9NR55
P07339	P16104
P43490	Q01628
P28702	Q9UHV7
P01137	P49746
Q13451	Q15831
Q7LDG7	Q9BPY3
P31947	Q9H0B6
O95257	P21246
P14784	Q8IZJ0
P08047	P14635
Q13813	Q86YD1
P17302	P68371
O00590	P51671
P36957	Q8WVM8
P0CG48	P67809
O60739	P27695
O75469	P41235
Q7L5N1	Q9Y4P8
P01241	P33316
P16234	P29353
P50150	Q13698
P42226	Q9BXN2
P22736	Q13164
P00374	P10809
P20073	Q9Y600
P40238	Q9GZX6
P35625	P78536
P26641	P30519
O75563	P36897
P40337	P43487
P51817	Q14643
P47992	P51677
O15264	P84095
O95136	Q14344
P35968	Q9GZP0
Q14164	Q9NPH2
P35658	Q92621
P11362	Q92914
P08670	P23490
Q15717	Q99459
P13987	Q15149
Q16659	Q9UQ07
P24522	P62879
O14641	Q8TAD8
P31749	Q8IYJ3
Q06587	Q969T4
P99999	Q9UHB4
P30154	P31751
P21860	Q9Y371
P10415	P27361
P61106	Q01968
P12931	Q9Y2W2
O15479	Q13257
P28074	P49721
P19532	P55209
P01889	P28482
P07900	Q9H7B4
P04439	Q8N743
Q15047	Q9BQ95
P31749	P49841
O95793	P60709
P61077	Q9BZR9
P15153	Q8N264
A6NCV1	P32121
O43255	P43146
O95379	Q93096
P0C0S5	Q9H0E9
O00221	Q8IWZ3
P60174	Q9GZR7
P25445	Q12923
Q12873	Q92956
P16885	Q13094
Q9BPW8	Q9H0R8
P80303	Q9NZ08
P20073	Q99832
O60244	Q02556
P61978	Q00839
Q969T4	Q9Y3C5
P55854	Q9UKL0
O95467	P63211
P19320	P19838
P60709	Q8NHR9
P63104	Q9UQB8
P30480	P31040
P28482	Q16566
P22362	P25025
P20336	Q9Y6V0
O14986	Q06187
Q15831	Q9C0K7
P27361	P46695
P51790	Q5T2W1
O60674	P16871
P48507	Q16236
P84101	Q93062
P06400	Q16576
Q14164	Q6UWE0
Q13315	Q9Y242
P98095	Q14031
Q12972	Q14194
P54259	Q02641
P51686	P80162
P25786	Q9BQ83
O14512	Q8N6P7
O14653	P54920
P17655	P20810
P14866	Q13418
P42262	P51817
P30480	Q15185
P54253	Q8IX01
O43541	Q15750
P01106	Q10570
Q93009	Q9HC52
P01568	P16471
P20908	P56199
Q7Z3B3	Q8NHQ1
P58107	P62330
P18206	P35609
P28482	Q9UN42
Q13467	Q96HF1
Q07812	Q9P2Y5
O75569	Q9UI95
P34896	P67870
Q13191	Q13261
P32121	Q96R67
O00238	P11802
Q9NWA0	Q9ULK4
P08887	P15018
O15162	Q15637
P25054	Q99814
Q99832	Q9H0Y0
Q15750	Q16643
O60825	P63104
P17612	Q07343
P52597	Q9UL18
P55157	Q9UN72
P11161	P56693
O15520	P29317
O95400	P22626
P22607	Q9ULV8
P78396	Q12834
O00159	O75365
Q53HC5	Q9UKV3
P26641	P62857
P54840	Q6ZSY5
Q13535	Q86U86
P59998	Q9Y6W5
O00231	O00487
P10914	P40306
P14616	P42338
Q7Z2E3	Q9UID6
Q16637	Q9BT40
Q00005	Q9Y580
Q92997	Q9Y2T1
P63104	Q13163
P04637	Q9BWC9
P25786	Q14164
P18146	P24941
P43320	P53672
O15198	P47897
Q13153	Q15796
P12111	P17301
P13805	Q99963
P11215	Q15582
Q5VYV7	Q9UBW8
P27707	Q13535
P42771	Q9P1U1
P25025	Q99731
O00161	Q9P2Y5
406957	Q9NRR4
P01106	Q16739
Q7L591	Q8WV28
O15144	Q07889
O15530	Q9HBY8
P63261	Q2M3G4
P24941	Q96JH8
Q5TCY1	Q9H583
O15360	Q9H2G2
P16220	Q9Y4K1
Q9H853	Q9Y6K9
P08246	Q92802
P53778	P53779
P49755	Q15363
P24723	Q07157
O00231	Q9UL46
Q9BRV8	Q9UHD2
A4D2G3	P32121
O15198	Q96FW1
O95819	Q07021
P16144	P42338
P12931	Q9H9L3
P38432	Q14978
Q9BUZ4	Q9Y4K3
Q15750	Q16539
P05783	P27348
O14933	O15344
O75346	P15121
O75794	P61421
Q12996	Q92797
Q969T4	Q9Y4L5
P12830	P40424
P53355	Q13164
O60437	P31749
P60763	Q8N264
A6NMZ7	P26010
P08670	Q8NEY8
P78508	Q14005
P51686	Q9H2A7
P48551	Q9UHD0
P14324	Q9NQI0
P48729	P61981
P50150	Q01668
P35659	Q92769
Q13439	Q9NV70
Q14164	Q16630
Q16778	Q9P0U4
P43360	Q86Y56
P05107	P46108
P12757	Q9UPN3
P17612	P60510
P02775	P16871
Q53ET0	Q70SY1
Q06323	Q16401
O95178	Q9P0J0
P12956	Q13424
P62310	Q9Y4Z0
P22612	Q92806
P67775	Q9Y624
Q01094	Q92543
P15735	P36873
P01137	P62258
P30154	Q8IZS8
Q8WYR1	Q9Y4H2
P61586	Q7Z628
P49841	Q16555
P00519	P16333
P11021	Q9UHD2
P16220	Q9P0M9
P61978	Q5VWX1
P04156	P36507
P14859	P24385
P43403	Q13191
P08138	Q6S5L8
P38936	Q96L91
Q13797	Q9Y6N6
P62140	Q8TEY5
P62917	Q9UNX3
406947	P30556
O00221	P15104
406958	O75030
Q99547	Q9Y5X1
O15131	Q14872
P14625	Q9Y2Z0
Q13555	Q13557
P26373	P61513
P0C0S5	P68431
P14672	Q15027
Q00610	Q9H8K7
O14561	O15239
P42575	Q7Z5J4
Q13177	Q96L33
P05019	Q9UK32
O95644	P22694
O60840	P62873
P08571	Q9NR96
P68104	Q13485
P51817	P62879
Q6EEV6	Q99666
Q9P2B4	Q9Y3A3
O14733	P36575
P52948	Q8N1F7
O14796	Q9BZW8
P62993	Q5HYK7
P61981	Q96B36
P35222	Q9BV47
P04792	Q15714
P49715	Q9Y2D1
P56746	P56748
Q13616	Q9H211
P05549	P06748
P56915	Q15797
O15524	P09619
Q15052	Q9UK33
O95208	P22607
Q70YC5	Q9NRI5
P52292	Q9UH99
P27986	P52735
406988	Q02156
P42025	Q12873
P01019	Q01844
Q05397	Q15759
P17544	Q8WYK2
P51679	P80098
O00221	O15084
P04150	P30519
P00374	Q15388
P61586	Q96FW1
P56134	Q92692
P17813	Q15654
P53350	Q9UM11
P49796	P52799
P22626	Q07955
O60269	Q9BQ66
P23458	P31785
O75419	P25205
O76024	P13569
P18858	P24941
P26368	Q9BZE0
Q8IYL3	Q8NBJ4
P06400	Q15643
P01871	P15309
Q9GZZ9	Q9NR46
P32121	Q8NH40
P06400	Q8WUA4
O43597	Q9BSJ1
O00257	P48552
Q6ZTN6	Q9NRR5
P46108	Q13905
P55072	P63104
Q6QNY0	Q6QNY1
P20962	Q9UGN5
O15264	Q16829
P13725	Q14031
P22301	Q99665
P49674	Q8TAM1
Q08170	Q13242
P21580	Q04206
P10276	P35558
A8MTJ3	P08100
P25116	P32298
P67809	Q13243
P10301	Q8WYR1
P14784	Q9GZX6
Q07108	Q09472
O15264	P15336
P00533	Q92915
Q8IYT8	Q8NEB9
O60941	Q15834
P31314	Q00653
O15042	P98175
P32121	Q9Y4K3
P05388	P62891
P41235	Q15596
P10721	Q12913
P00533	Q05513
P01100	P03372
P05771	Q70SY1
P63215	Q14832
P02775	P22736
O60508	P52272
P06213	P23467
P61158	Q92747
Q13153	Q14164
P23508	Q9Y6E0
P10276	P49792
P25116	Q9UBI6
P84022	Q9H0E3
P11142	P46527
P62330	Q92922
Q14197	Q9HD33
P18846	Q9HCP0
O76071	Q9Y3D0
Q15654	Q9Y4K3
P05141	Q99759
Q14258	Q8WVN8
P62140	Q9NY47
P08913	Q13424
P98175	Q04741
O14908	Q03167
P02768	Q9Y259
P01243	P26368
O75438	P51970
P58340	Q9UNS2
P24385	P46527
O43741	P36956
P18124	P22736
P52597	Q05519
P46379	Q9UBS4
Q6WCQ1	Q96SB3
P46940	Q99816
A6NI73	P43405
P29459	P42224
P62841	P62854
P15880	P62753
O75478	Q9H8E8
Q6ZW49	Q8NEZ4
P55157	Q9H5I1
P41212	P63165
P25786	Q9UKE5
P18621	Q02878
Q15758	Q9HC98
P16104	Q13535
O15105	O15379
P10275	Q13888
P56706	Q6FHJ7
Q13315	Q9NQS1
Q13257	Q9UJX4
O60282	P18146
P51677	P78556
P60953	Q8N1I0
P49841	Q96ID5
P60709	Q9Y4K3
O00267	O14744
P61952	Q9UKY1
P54132	Q13573
P02765	P02768
P52735	Q9UJM3
P22234	P43686
P26641	P62993
O75554	Q14444
P0C5Y9	Q99877
P10275	P19838
P52597	Q9BUJ2
O43395	Q8WYA6
O75444	P18848
P24723	P57087
P60842	P78344
P52756	Q9BUJ2
O43242	Q06323
P30154	Q15172
O43765	P01889
P01111	P07949
Q86YV6	Q9P286
O00459	P52735
P12111	Q05397
P35372	P62879
O43374	P01116
P46777	Q9UNX3
P52952	P63279
P10828	Q93074
Q7Z7E8	Q9BY78
P31751	P62714
P12004	P67809
P84022	Q16539
P01106	Q8IY37
P61586	Q52LW3
O95359	Q9P0W2
P01889	P49915
O14939	P04406
P21246	P49841
P20618	Q99436
P09429	P10275
O43597	Q9Y219
O75716	Q96RG2
P07951	P23508
P50914	P61927
P06899	Q9UBN7
P06493	Q16254
P15918	P55895
P41091	Q99613
P13569	P25685
Q8N6T7	Q99708
P01567	P52333
P12004	Q99638
P63027	Q9UI14
P62136	Q02930
Q13136	Q9UPW5
P40937	P68104
P62158	Q05682
Q99677	Q9UBI6
O95402	P42166
Q13190	Q7L5N1
O60674	P51692
P04049	P61586
P29992	Q9UP65
Q8TAA9	Q96MT3
P51817	Q14573
O15315	O43502
Q9H0E2	Q9NP58
O43915	P08069
O95639	Q9H6E5
P51571	Q9Y478
P52597	P63104
P18621	P46776
O43741	P46527
P62070	Q13972
O14713	Q9UNN5
P02778	Q14653
P23508	Q9BXJ9
P19793	Q15648
P00734	P02768
P04406	P28482
P06239	Q92569
O00267	Q9Y3C7
P62993	Q7Z7G0
O15297	P46777
Q71SY5	Q9NPJ6
P12757	Q14533
O43524	Q13485
O75914	P61587
P28482	Q9UQC2
O43597	P04080
Q08209	Q13522
P11802	Q9UJU6
P12314	P42224
P21246	Q96D09
O00512	P15884
P22090	P62244
Q8N163	Q9P2S5
P61088	Q9Y4K3
P61956	Q7Z3J3
P11362	Q9NSA1
O14512	P15509
P01889	P43355
Q02241	Q9H0H5
Q12905	Q9UBD5
P07947	P35222
P01137	Q14392
P16471	P35568
P14784	P42224
P83436	Q9H9E3
Q13007	Q99665
P09455	P24385
Q8NFH3	Q9NRG9
P32121	Q8NGM8
O75791	Q9UQC2
P50570	P57060
P50991	Q00005
P68366	Q8IUQ4
Q13573	Q9NWV8
P35228	Q8TD86
P06493	P14635
O75940	Q12874
Q92945	Q9Y4K3
P17844	P55795
P13725	P40238
P15408	P17275
P31751	P56279
P01138	P22455
P04899	P27361
P42858	Q00535
P63279	Q8N5U6
Q14164	Q9BVK6
O60343	Q96L91
P49841	Q02930
P42338	Q05397
P05783	P29353
Q9H788	Q9UJU6
P78352	Q14160
O75581	Q9ULW2
P06858	Q9Y383
O60674	P01589
Q5VZM2	Q9HB90
Q14919	Q9NWU5
P12882	Q16394
O43242	Q99460
O43586	O95996
P08047	Q9ULW8
P47736	P63104
P02730	P42771
P00519	Q9C0E4
P31749	Q92922
P15509	P20809
P22455	P42336
P01106	Q9Y4D2
O00461	P01106
Q6ZUJ8	Q8WYR1
P23458	P35568
P48059	Q15831
P31946	Q13309
P01106	P49711
P13612	P62834
P0C0S8	Q96DB2
P04183	P25054
P13498	P14780
P26927	Q8WWW0
P30480	P52272
P49841	Q9UMX1
P01215	Q969G2
Q13573	Q9Y5Q9
P12814	Q8WZ42
P09651	Q01130
Q14209	Q14680
P48730	Q04917
P41240	Q03135
P62873	Q9NRI5
P17948	Q92529
O43741	O60825
Q9Y5W5	Q9Y6F9
P03891	Q9NX14
Q13535	Q9H939
P98082	Q13526
P30154	P53778
P22455	Q9Y371
Q8NAC3	Q96F46
P27815	Q16566
P20702	Q14773
Q04724	Q08117
Q96QV6	Q96RL1
P19419	P41134
Q16629	Q9BUJ2
P13637	P48736
Q13571	Q9HAU4
O75970	P56880
P18621	P61254
P14616	P62993
O95229	Q8NG31
P12931	Q9ULH1
P62942	P63098
Q06609	Q86YC2
P24522	Q12824
P53041	P78527
O00329	Q9HAV0
P35590	Q06124
P61626	Q8NEV4
P01308	Q92569
Q14164	Q6P1L8
P19429	Q15173
Q13573	Q92499
Q01201	Q92785
Q13387	Q8WXH0
P29353	Q9H840
P30304	Q8IZL9
P45985	Q13158
P31751	Q15759
P16220	P49137
P01568	P48551
O15169	Q92997
P23284	P42229
P08631	Q7LFX5
P05091	Q96ID5
O00505	P46527
P05106	P49747
P26012	Q13751
Q15306	Q86TG7
P04899	P62879
P36954	P53803
O95409	P10070
Q13370	Q9UQM7
O43150	Q969Z0
O60341	O95983
P62158	Q13555
P14314	Q86YW0
Q8IYM9	Q96RK0
P61601	Q9UGN5
Q00013	Q9NYL2
P60709	Q2M3G4
Q15291	Q6ZW49
P0C1H6	Q9BTM1
P01567	Q14627
P26045	P31947
Q99570	Q99624
P63279	Q13569
P56279	Q09472
P20073	Q9BRK5
P15170	P54253
P28482	P29350
P23945	Q01094
P01889	Q9UL25
Q15759	Q8WZA2
O00716	Q7L590
P04792	Q9Y5V3
P84098	Q07020
O95402	Q9UHW5
P21781	P35968
Q9H4E5	Q9H7D0
Q6VMQ6	Q9H1H9
P55210	Q92934
P01106	P06733
Q96S52	Q9H490
P01106	P62979
P46779	Q96A57
Q92769	Q99684
P16104	Q6ZW49
P20827	P21709
P10275	Q9H334
Q13315	Q96G28
P22694	P32418
P35626	Q8NGI3
P62993	Q02763
O94986	Q9Y2J2
Q7Z2E3	Q9NRD5
P38398	Q9BSJ2
Q15047	Q9H5F2
P49207	Q9NY93
P31942	Q9UBW7
Q8TAU0	Q9UDV6
P05141	Q02156
P31946	Q7L8J4
407042	P04637
P03372	P55345
P04629	Q13501
P42680	Q9ULH1
P01375	Q07890
P01133	P17948
P35626	Q8NGZ9
P54727	Q14203
554210	P37275
P13569	Q5SW79
Q03113	Q86XP0
P41091	P49770
P36897	Q9HC98
P05067	P55084
P84103	Q15365
O75420	P56915
O75899	P16520
P01568	P15260
P10145	P35869
O96006	P07602
Q96BI3	Q9Y219
P62837	Q9BZY9
P16333	Q8IZP0
P08047	P40617
P08069	Q92529
Q06455	Q7Z6G3
P50222	Q9Y512
P35609	Q92831
P33991	Q6IE81
O43809	P04222
P30281	Q96EV8
Q16659	Q8NAF0
O95379	Q12974
P01571	Q6UXL0
P08107	P25963
P31946	P48730
Q12834	Q9P031
O76071	O95995
P01889	Q15365
Q496Y0	Q9Y6D9
O15379	Q04206
O75937	P61978
P50148	Q9H1C0
O15054	P03372
P33764	Q9UQ07
Q96BY2	Q9NS23
P55854	Q9HC62
P31749	P62140
P14598	P17252
Q02413	Q8WUW1
O60675	Q14494
O76031	Q14197
P50395	P61019
Q8IZ07	Q9H0E2
P15153	Q9UIW2
P17812	Q96BK5
P01903	P48382
O43524	Q99873
Q12874	Q9UHX1
P31689	Q9H9G7
O14964	Q9UJY5
O60674	P67775
P09486	P43235
Q13137	Q3YEC7
O60244	O75448
Q8N6Y0	Q9H4K1
P56282	P68104
P05060	P68371
P13631	Q09472
P50579	Q16254
P08047	Q15796
P21980	Q14766
P35580	Q96A32
P01106	Q9UNF1
P28482	P42224
J3KMZ3	P28482
P27930	Q99759
P05771	P42345
P02452	P10242
O15226	Q00653
P01137	P07942
Q13546	Q9Y572
P52735	Q08881
P04637	Q92925
P00519	P42167
P30153	Q9Y375
Q96H20	Q99816
O60603	P08107
P01568	P78552
Q02833	Q9NRI5
P09496	Q9Y6A5
P17948	Q92913
P18847	P22694
P35222	Q9HCS4
A6NI79	Q9NYL2
P36873	P62140
Q3MJ16	Q5JWF2
O95631	Q8IZJ1
P54646	Q8N122
P15170	Q96P09
P31273	P55157
P61513	Q5T3J3
P46782	P62081
P08047	Q09028
P61586	Q13153
O14777	Q53G59
P23258	P49841
P08107	Q9Y572
P11473	Q13393
P19525	Q99848
O15516	Q8WYA1
P10827	Q8WYR1
P02647	Q16659
Q13535	Q96L91
Q08209	Q9NYG5
P41235	P53999
O15355	P09012
P04637	Q5VTR2
P63104	Q14204
P29317	Q92913
P62263	P62857
Q05193	Q9Y3C7
9757	O15550
O95180	Q9Y2W7
Q16539	Q9Y6W6
P07195	P35222
P01106	Q9Y676
O60907	Q13227
O60244	Q9Y2X0
P84996	Q08462
P06756	P51178
P02751	Q08380
P03372	Q9BT22
O14933	Q13064
Q8TAU3	Q9P209
P04183	Q15784
O95980	P01106
Q9UL18	Q9Y3D3
P46531	Q92831
Q9UI09	Q9Y6M9
O60814	Q86WJ1
P25786	Q9NXG2
Q04828	Q16236
Q15428	Q8IX12
P06748	Q9H4L4
P48443	Q9NPJ6
O60739	Q9NRN7
Q6NZ67	Q96CW5
P12931	Q13077
O14986	P06396
P11802	Q99828
Q86TJ2	Q9Y6J9
P42338	Q9UQC2
O14936	Q96RT1
O95477	P16220
O95084	Q99653
O15371	P41567
O75558	Q96QD8
P12004	Q15819
P06126	P61769
O00213	P04626
Q13615	Q9Y3B2
P08047	Q15573
O00257	Q9BSM1
O95714	Q8IYW5
O14640	Q86T65
P10301	Q9UJF2
O00574	Q16627
P01111	P04899
P84022	Q8WWM7
P01567	Q99665
P10301	Q15311
O14920	Q13077
O00483	Q16795
P01730	P04150
O75807	P08107
P04792	P61088
O14543	Q9Y4K3
Q8WWI1	Q99459
P15090	Q07869
P29590	P46937
P63104	Q14978
P00533	Q4KWH8
Q6FHJ7	Q9ULV1
P05412	P56645
P41743	Q9H0R8
P37837	Q9Y4K3
P09455	Q9H7L9
P35268	P62945
O14543	P15509
P11021	P61289
P52272	P61978
P06493	P10244
P67809	Q00839
P35222	Q7Z6J6
P32298	P46094
P28324	Q15759
O14686	Q9BRQ0
Q13177	Q99436
P22681	Q9Y2R2
Q14565	Q9Y620
O60880	P00533
P12110	Q13797
Q02535	Q92574
P10966	P30450
P39023	P62906
O95295	Q08345
P35626	Q8NH02
P16885	P48454
Q9BYM8	Q9Y2X8
P43243	Q99759
P51784	Q13107
O14654	P29353
P29475	Q08AM6
O14646	P49407
P63104	Q6R327
P13747	P43627
O60663	P61421
P54253	Q9P1W9
P10144	P42574
O14920	Q9Y2U5
P30304	Q8NG66
O15198	Q96RR1
P28562	P45984
P60709	Q9H9G7
P20333	P62263
O00193	Q9P283
P52597	Q8IYB3
Q99623	Q9UHI6
Q9HC98	Q9UBC5
Q9H3P7	Q9UBF8
P32302	P43250
O95067	P21333
P17948	P49763
P49703	Q9UPT6
O94916	P10275
P0CG48	Q96PM5
P16070	Q01955
O14802	P52434
P29350	P35968
Q9BWD1	Q9Y478
Q9ULH0	Q9Y3A3
P10828	Q15596
P00533	Q9H201
P16220	P63279
P08887	P40225
P35398	Q9Y6X2
P32302	P49407
Q13547	Q9UBP5
P07148	Q07869
Q8TBB1	Q9BT40
Q92747	Q9Y6W5
P20701	Q9UKW4
P56537	Q9UQ80
P63092	Q9UK08
Q14332	Q9UBV4
Q96A65	Q9NV70
P42768	Q92729
P40337	P62750
O75674	P06396
P0CG48	Q93008
O75534	P01889
P30876	Q15560
P35222	P49768
P03901	P51970
P05771	Q99941
P10415	P67775
Q13315	Q6P0N0
P35626	Q8NH41
P11021	Q13546
P28482	Q12772
P05129	P40763
O60573	Q9Y4K3
P26641	Q96RU7
P10301	P28482
Q14687	Q96MT8
P57059	Q9P0L0
P62837	Q9NVW2
Q15080	Q16539
P51955	Q5FBB7
P01106	Q8N3Z6
P08151	P10070
P05129	Q9NRD5
P04156	Q06481
P05556	P61224
O94805	Q92922
P08754	Q86YR5
P10244	P49427
P24385	P49841
Q49AN0	Q9UGJ0
Q13432	Q9NPA5
Q06187	Q9H204
O75530	Q9UBC3
P17066	P25685
406911	P42771
Q13087	Q13177
P25445	Q13233
P08069	Q8WYR1
P11388	P49716
O75369	P05556
Q06323	Q9UPT9
Q14197	Q96EH3
Q15653	Q9P2K8
P14866	P52272
O75530	Q15910
Q16891	Q9NRI5
P42858	Q8N2W9
P36873	Q68CJ9
Q9NTJ3	Q9Y6K9
O75970	Q9H205
Q05516	Q14451
O15123	P67870
O15335	P26006
P26992	Q9NYY1
O15111	P10809
P50750	Q13535
Q6STE5	Q9Y3M8
Q15047	Q9UFN0
P07602	Q8WUM0
P12931	P51636
Q9Y5E4	Q9Y6T7
O75400	Q70Z53
P46108	Q7L190
P22314	Q16594
P17931	Q29983
O75815	P17812
P08238	P63208
P35052	Q12841
O75446	Q09028
P09467	P12814
O43707	P63267
P09871	P0C0L5
O43639	P26641
Q12959	Q99759
O95832	Q07157
P48736	P54709
Q09013	Q16082
P00519	Q9UK85
Q13573	Q92878
P07333	P48736
P07948	Q99759
P14923	Q00005
Q15366	Q9BPZ7
O15143	Q07890
O15520	P22607
O75886	Q9NRR5
P32942	Q05516
Q13315	Q14C86
P30939	P63211
Q96Q15	Q9Y4R8
P00519	Q9NZV5
P46531	Q9Y219
P62945	Q92901
P22626	Q01130
P54105	Q14240
Q96A08	Q9UBN7
A7MCY6	Q8TDY2
O15264	P50151
P12931	Q86WV1
P15336	P49715
P25189	Q01453
O00292	P10600
P29350	P31785
P27986	P61981
Q93008	Q9HC98
O43427	P57678
O15198	P53582
O43150	P06241
P49792	P63165
P21675	Q9Y294
Q9H3D4	Q9UMD9
P01236	P07339
Q6P2C8	Q71F56
Q63HN8	Q96EZ8
O94864	Q92830
P13725	Q9UHF4
P04899	Q9BXC0
P10600	Q8NER5
P22694	Q99819
P24928	Q13526
O95793	P11940
O95157	P16333
O15479	P62249
O43318	Q15750
P68032	Q8TDR0
O14530	P21246
O60383	P20073
P19387	Q9NVR2
Q92851	Q9UNN5
Q8N2W9	Q9H213
O75182	Q05516
P43364	Q8IXB1
Q92932	Q9H254
Q969Q1	Q9Y692
P04899	P28222
Q14134	Q9BRK4
P08476	Q8NER5
O94826	Q7Z434
P42679	Q01844
O43900	Q92997
O14641	Q9ULW2
O14654	Q02156
P38398	Q09472
P62140	Q93100
Q15139	Q9NYF0
P15622	Q9C0F1
Q13330	Q9UBB5
Q14999	Q8N3Y1
P30480	Q15631
O14641	Q96MT3
Q13356	Q96NB3
P09919	Q01344
O95628	Q9Y2X8
O94972	O95990
O15400	Q9UEU0
O60496	P20936
O15360	Q13472
O15265	P54725
P15260	P40225
Q15834	Q15910
P02647	P11597
O43674	O95139
O95084	P36578
Q712K3	Q8IZP6
P49674	Q9Y2G4
Q9H5I1	Q9UFW8
P08651	Q01130
P62993	Q14315
Q8TEY5	Q9UQM7
Q13683	Q17RW2
O14944	P00533
O75400	Q9BUJ2
P20248	Q13415
P00734	P41235
Q6SZW1	Q9Y4L1
P19012	Q7LC44
Q86V88	Q9BSW7
P07202	P38484
P35626	Q96RB7
